drugbank_id,name,smiles_canonical,image_path
DB00294,Etonogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,drug_embeddings_by_freq\drug_images\DB00294.png
DB00295,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,drug_embeddings_by_freq\drug_images\DB00295.png
DB00296,Ropivacaine,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,drug_embeddings_by_freq\drug_images\DB00296.png
DB00297,Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,drug_embeddings_by_freq\drug_images\DB00297.png
DB00299,Penciclovir,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,drug_embeddings_by_freq\drug_images\DB00299.png
DB00301,Flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,drug_embeddings_by_freq\drug_images\DB00301.png
DB00303,Ertapenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,drug_embeddings_by_freq\drug_images\DB00303.png
DB00307,Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,drug_embeddings_by_freq\drug_images\DB00307.png
DB00308,Ibutilide,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,drug_embeddings_by_freq\drug_images\DB00308.png
DB00315,Zolmitriptan,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,drug_embeddings_by_freq\drug_images\DB00315.png
DB00317,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,drug_embeddings_by_freq\drug_images\DB00317.png
DB00319,Piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,drug_embeddings_by_freq\drug_images\DB00319.png
DB00320,Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,drug_embeddings_by_freq\drug_images\DB00320.png
DB00323,Tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,drug_embeddings_by_freq\drug_images\DB00323.png
DB00327,Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,drug_embeddings_by_freq\drug_images\DB00327.png
DB00331,Metformin,CN(C)C(=N)NC(=N)N,drug_embeddings_by_freq\drug_images\DB00331.png
DB00334,Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,drug_embeddings_by_freq\drug_images\DB00334.png
DB00335,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,drug_embeddings_by_freq\drug_images\DB00335.png
DB00337,Pimecrolimus,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,drug_embeddings_by_freq\drug_images\DB00337.png
DB00338,Omeprazole,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,drug_embeddings_by_freq\drug_images\DB00338.png
DB00341,Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,drug_embeddings_by_freq\drug_images\DB00341.png
DB00343,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,drug_embeddings_by_freq\drug_images\DB00343.png
DB00346,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,drug_embeddings_by_freq\drug_images\DB00346.png
DB00348,Nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],drug_embeddings_by_freq\drug_images\DB00348.png
DB00349,Clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,drug_embeddings_by_freq\drug_images\DB00349.png
DB00355,Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],drug_embeddings_by_freq\drug_images\DB00355.png
DB00360,Sapropterin,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,drug_embeddings_by_freq\drug_images\DB00360.png
DB00361,Vinorelbine,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,drug_embeddings_by_freq\drug_images\DB00361.png
DB00363,Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,drug_embeddings_by_freq\drug_images\DB00363.png
DB00367,Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,drug_embeddings_by_freq\drug_images\DB00367.png
DB00369,Cidofovir,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,drug_embeddings_by_freq\drug_images\DB00369.png
DB00370,Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,drug_embeddings_by_freq\drug_images\DB00370.png
DB00373,Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,drug_embeddings_by_freq\drug_images\DB00373.png
DB00374,Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,drug_embeddings_by_freq\drug_images\DB00374.png
DB00377,Palonosetron,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,drug_embeddings_by_freq\drug_images\DB00377.png
DB00379,Mexiletine,Cc1cccc(C)c1OCC(C)N,drug_embeddings_by_freq\drug_images\DB00379.png
DB00380,Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,drug_embeddings_by_freq\drug_images\DB00380.png
